Denumire,Numar inreg Reg National,Starea actuala,sediu schimbat,organizatia trece in circumscriptia altei instante,Judet,Localitate,Adresa,Scopul initial,Modificari ale scopului 1,Modificari ale scopului 2,Modificari ale scopului 3,HG utilitate publica,Data HG utilitate publica,
"CONCORDIA ROMANA"- COOPERATIVA DE CREDIT BANCA POPULARA,16/D/1998,,,,DAMBOVITA,TARGOVISTE,BD INDEPENDENTEI, NR 3, BL A/1, CINEMASCOP,Sprijinirea, modernizarea satului romanesc si dezvoltarea agriculturii a apararii, incurajarii si dezvoltarii capitalului autohton in mediul rural.,,,,,,
"ENCORE",6/D/1996,,,,HARGHITA,MIERCUREA-CIUC,STR. SALCIEI NR.1/A/13,Desfasurarea de activitati umanitare si de protectie.,,,,,,
"FEDERATIA AUTOMATIZARI FEROVIARE (FAF)",2350/D/2004,,,,BUCURESTI,BUCURESTI,STR.PIATA GARII DE NORD NR.1, ET.2, CAM.224, SECTOR 1,- are ca scop apărarea şi promovarea intereselor profesionale, economice, sociale, culturale şi sportive ale membrilor Sindicatelor aliate, în conformitate cu legislaţia în vigoare şi statutele proprii.,a) susţinerea, la toate nivelele, a drepturilor şi intereselor membrilor săi,,,,,
"FEDERAŢIA DE KARATE SHITO-RYU"
,39/D/2000,in lichidare,,,BUCURESTI,STR.RĂCARI, NR.10 BL.41,SC.1 ETJ.6, APT.36,SECTOR 3,Bucureşti, str. Orzari nr. 77, sector 2,- este o organizaţie nonprofit şi are ca scop principal al activităţii descoperirea şi îndrumarea tinerelor talente în sport, practicarea karate shito-ryu, şi alte discipline înrudite cu acesta, afiliindu-se la federaţii internaţionale, la care nu este afiliată nici o federaţie sportivă din România.,,,,,,
"LIGA PATRONILOR",30/D/1991,,,,BACAU,ONESTI,STR.ZEMES NR.4,Acorda membrilor sai asistenta tehnica,comerciala pentru buna desfasurare a activitatii acestora.,,,,,,
"MARTORII LUI IEHOVA" - TISA,29/D/2000,,,,MARAMURES,TISA,STR. PRINCIPALA NR. 2,Marturisirea in comun ai raspindirea invataturilor biblice si a credintei crestine,,,,,,
"MUNKAS ERDEKVEDELMI SZOVETSEG",58/D/1990,,,,HARGHITA,MIERCUREA-CIUC,STR. HARGHITA NR.2,Apararea intereselor legitime a tuturor lucratorilor din cadrul cooperativei.,,,,,,
"UNIUNEA JUDETEANA A SINDICATELOR LIBERE" CONSTANTA,105/D/1990,,,,CONSTANTA,CONSTANTA,BD. AL. LAPUSNEANU 1,APARAREA SI DEZVOLTAREA DREPTURILOR SI INTERESELOR MEMBRILOR SAI,,,,,,
"UNIUNEA SINDICATELOR DIN ÎNVATAMÂNT BUCURESTI-ILFOV",11/D/2010,,,,BUCURESTI,BUCURESTI,STR.JUSTITIEI NR.65, CORP B, SECTOR 4,,,,,,,
"UNIUNEA STUDENTILOR",3/D/1995,,,,HARGHITA,ODORHEIUL SECUIESC,STR. TAMASI ARON NR.55/A,Ocrotirea culturii si traditiilor maghiare,,,,,,
